"Trust-Seal","Vertrauens-Siegel"
"Trust-Seal Configuration","Vertrauens-Siegel Konfiguration"
"Activate","Aktivieren"
"Alignment","Ausrichtung"
"Unit","Einheit"
"Margin","Abstand"
"Will only take place if position is set to 'Right Fixed'.","Wird nur angewendet wenn Position 'Rechts fix' ist."
"Yes","Ja"
"No","Nein"
"Top","Oben"
"Bottom","Unten"
"Pixel","Pixel"
"Percent","Prozent"
"Right Top","Rechts Oben"
"Right Middle","Rechts Mitte"
"Right Two Thirds","Rechts Zwei Drittel"
"Right Bottom","Rechts Unten"
"Right Fixed","Rechts Fix"
"Product Verification","Produkt Verifizierung"